Time (s),AF1,AF2,AF7,AF8,AFZ,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPZ,CZ,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCZ,FP1,FP2,FPZ,FT7,FT8,FZ,O1,O2,OZ,P1,P2,P3,P4,P5,P6,P7,P8,PO1,PO2,PO7,PO8,POZ,PZ,T7,T8,TP7,TP8,X,Y,nd
0.0625,-1.658,2.594,7.558,7.07,-0.01,9.613,-5.066,17.792,-6.297,-5.656,-1.678,-0.305,-2.299,-0.387,-3.265,25.045,-10.04,-0.478,8.026,-0.895,0.529,-3.021,2.431,0.478,-0.559,7.009,4.242,2.777,-0.488,4.262,-3.428,2.94,1.902,1.048,0.356,-1.607,-4.161,2.533,2.533,0.417,-7.721,-8.453,-8.545,-3.825,-4.374,-3.255,-4.293,-2.482,-6.816,-0.407,-9.674,-6.643,-7.731,1.953,-7.538,-7.243,-3.286,4.425,2.462,-1.038,-0.153,4.985,2.665,0.376
0.06640625,-0.682,2.106,4.629,6.582,-0.498,1.312,0.793,-0.763,2.981,-0.773,-0.702,0.183,-1.811,0.102,-3.265,-25.736,3.632,-0.478,4.12,-0.895,0.529,-2.533,2.92,-0.498,0.905,7.985,4.73,2.289,0.488,1.333,-1.475,-3.896,5.32,1.536,-0.132,2.299,2.187,-0.885,4.974,-0.071,-8.209,-9.43,-9.033,-3.825,-4.374,-3.255,-5.269,-2.482,-8.28,-0.895,-10.651,-7.131,-7.243,3.906,-3.143,-7.731,-2.309,-0.946,-4.862,-0.061,-7.965,1.078,0.224,-0.112
0.0703125,1.76,1.129,-0.254,5.605,-0.498,0.336,-3.113,-4.669,-10.203,5.086,0.763,0.183,-1.322,1.567,-2.289,20.162,-1.74,0.01,1.678,1.058,0.041,1.862,0.966,1.943,1.882,7.009,1.312,1.312,0.977,-1.597,0.966,-6.337,5.809,1.536,-0.132,6.205,6.582,-4.303,0.58,0.905,-6.744,-8.453,-7.568,-2.36,-3.398,-2.279,-4.781,-1.017,-7.792,-0.895,-6.744,-5.666,-5.29,7.324,4.181,-6.266,-1.333,-4.364,-10.722,-0.061,-11.871,-1.363,1.2,0.376
0.07421875,3.713,-0.336,-4.161,5.605,-0.01,1.312,-0.671,1.19,-1.902,7.528,1.74,0.671,-0.346,3.031,-0.824,12.349,-3.204,0.498,0.214,3.499,-0.936,7.233,-2.94,6.337,2.37,4.079,-2.594,0.824,0.488,-1.109,2.431,-3.408,2.879,1.536,0.356,8.647,5.117,-2.838,-7.721,1.394,-4.303,-6.012,-5.127,-0.895,-1.933,-0.326,-2.828,-0.041,-5.351,0.081,-2.838,-3.225,-3.337,-3.906,-3.143,-4.313,-0.356,-4.364,-14.14,-0.549,-10.895,-0.875,3.153,0.376
0.078125,3.225,-2.289,-5.137,5.117,-0.01,-2.594,3.235,-2.716,6.887,4.598,0.275,0.671,0.142,3.52,0.153,25.533,13.397,0.987,-1.251,4.964,-0.936,9.186,-5.87,7.802,1.394,0.173,-6.5,1.312,0.0,1.821,1.455,2.94,-2.981,1.048,0.844,9.135,0.234,7.416,-12.604,1.882,-2.35,-3.571,-3.174,0.081,-0.956,0.651,-1.851,0.448,-3.398,0.57,-1.862,-1.272,-2.848,13.672,8.575,-2.848,-0.356,-1.923,-16.093,-1.526,-7.477,1.567,4.618,0.865
0.08203125,2.248,-2.777,-1.719,3.652,-0.01,-0.153,3.723,5.585,12.746,-0.285,-2.167,1.16,-0.834,3.52,-0.824,2.096,5.096,0.498,-1.74,4.476,0.041,8.209,-4.893,5.361,-0.071,-2.268,-7.477,3.265,0.0,6.704,-0.498,6.358,-6.887,1.048,1.333,7.67,-0.743,20.599,-10.162,1.394,-2.35,-3.082,-3.662,-0.407,-2.421,0.651,-1.851,-0.041,-3.886,0.081,-3.815,-1.272,-4.313,1.953,-9.003,-3.337,-1.333,1.007,-15.116,-1.038,-4.547,4.008,5.107,0.865
0.0859375,2.736,-1.312,5.605,1.699,0.478,-0.641,-1.16,-3.204,-0.437,-1.261,-4.608,1.16,-2.299,3.52,-2.289,15.767,-2.228,-0.478,-0.763,3.988,1.994,5.28,-0.987,0.478,-1.048,-0.804,-4.059,4.73,0.977,8.169,-0.987,6.358,-5.91,2.024,2.797,6.205,4.629,26.459,-1.373,2.37,-3.815,-4.059,-5.127,-0.895,-3.886,0.163,-3.316,-0.529,-5.351,0.081,-5.768,-2.248,-5.778,16.113,-4.12,-3.825,-3.286,3.448,-8.769,3.357,-3.082,5.473,6.083,2.818
0.08984375,4.69,1.129,13.418,0.722,2.431,6.195,-0.183,6.561,-10.691,3.133,-3.632,0.671,-3.276,2.055,-3.265,8.443,-7.599,-1.455,2.655,3.988,4.924,4.303,4.873,-2.452,-0.071,3.591,4.242,5.219,2.441,6.704,0.966,2.94,-1.027,3.001,6.215,5.717,12.441,18.158,5.951,3.835,-5.28,-5.035,-6.104,-1.383,-4.862,-0.814,-4.293,-0.041,-5.351,1.058,-3.815,-2.736,-4.801,18.066,5.646,-4.801,-3.774,5.89,3.438,10.193,-1.617,6.938,9.013,5.747
0.09375,6.643,3.082,15.371,1.211,4.384,-2.106,4.211,-9.552,1.027,10.946,0.763,0.183,-2.787,0.102,-2.777,3.56,2.167,-1.455,6.561,4.964,6.388,5.768,7.802,0.478,3.347,8.962,14.008,4.73,3.418,3.774,4.384,0.987,6.297,3.489,9.633,6.205,13.418,2.045,7.904,5.3,-4.303,-4.059,-5.127,-1.383,-3.398,-0.326,-2.828,1.912,-2.909,3.011,1.068,-2.248,-1.872,10.742,11.017,-3.337,-2.309,8.331,17.11,17.517,2.289,8.403,12.431,9.165
0.09765625,6.643,4.059,10.0,1.211,4.873,-0.153,-1.648,2.167,0.051,15.34,6.134,-0.305,-1.322,-1.363,-0.824,6.49,1.19,-0.478,8.514,5.452,5.9,7.233,8.291,5.849,7.253,11.403,19.379,3.265,3.418,1.821,6.337,3.428,10.203,3.489,10.61,4.252,6.093,-9.186,4.974,5.3,-0.885,-1.617,-2.197,0.081,-0.468,1.139,0.59,3.866,1.973,6.429,5.463,0.682,2.035,0.0,-5.096,-0.407,0.132,9.796,24.923,19.958,6.683,8.891,12.431,10.142
0.1015625,3.225,3.571,0.234,-1.719,3.408,-1.129,-1.16,-1.251,-2.391,12.899,9.064,0.183,0.631,-0.387,1.617,-2.787,-1.74,0.498,6.073,3.988,3.947,6.744,6.337,9.267,9.694,9.939,15.961,1.801,2.93,1.821,5.849,8.311,9.226,2.513,6.704,-0.631,-4.649,-9.186,0.58,3.835,2.533,1.312,1.221,2.523,2.462,3.092,3.52,6.307,5.391,8.87,5.463,3.611,3.988,-5.859,-1.678,2.523,2.085,8.82,21.016,15.076,8.148,6.938,8.036,6.724
0.10546875,-1.658,3.082,-5.137,-7.09,0.478,14.984,-3.113,34.882,-6.297,6.063,6.134,1.648,1.607,1.567,3.082,6.978,-13.947,1.475,0.702,1.546,1.994,2.838,4.873,6.337,8.23,4.567,3.754,0.824,1.953,2.797,1.943,12.217,4.344,1.536,-0.621,-7.955,-10.02,0.092,-1.373,1.394,4.974,2.777,3.174,3.499,2.95,5.046,4.496,7.284,5.391,9.359,1.068,5.076,3.011,-2.441,-15.35,3.011,2.574,5.89,6.856,4.333,4.242,2.543,1.689,-0.6
0.109375,-4.1,3.571,-2.696,-10.02,-1.475,3.265,-3.113,-3.693,-8.25,-0.285,-0.702,2.625,1.119,4.008,1.617,8.931,-0.275,1.475,-4.181,-1.383,0.529,-2.045,3.896,0.478,3.347,-1.78,-9.918,0.336,0.977,3.286,-2.452,10.752,-1.516,0.559,-5.992,-11.861,-6.602,9.857,-0.885,-0.559,4.486,1.312,2.197,3.011,1.485,5.046,2.543,6.307,1.485,8.382,-4.303,3.611,0.081,7.324,1.74,1.546,1.109,2.472,-8.28,-4.944,-3.082,-2.34,-2.218,-5.971
0.11328125,-3.123,4.547,5.605,-6.602,-0.987,0.336,0.793,8.514,2.981,-1.75,-7.05,2.136,-0.346,4.985,-0.824,-10.111,-8.575,0.498,-4.669,-1.383,1.017,-3.51,3.408,-2.94,-3.001,-5.198,-16.266,1.312,0.0,3.286,-5.381,5.87,-4.445,0.559,-6.48,-10.396,1.211,14.252,0.58,-0.071,1.556,-1.617,-1.221,0.57,-1.933,3.092,-1.363,3.866,-3.886,5.452,-6.744,0.193,-3.825,-1.953,-8.514,-2.36,-1.821,2.472,-16.093,-7.385,-8.942,-4.293,-0.753,-6.46
0.1171875,0.295,4.547,11.464,3.652,1.455,-1.617,3.723,-14.923,7.863,0.692,-8.514,1.648,-2.299,3.52,-3.265,-7.182,10.468,-0.478,-2.228,0.57,1.506,-0.092,1.455,-0.498,-6.419,-3.245,-12.36,2.289,-0.977,3.286,-5.87,0.498,-3.957,1.536,-1.597,-2.584,6.093,11.322,0.092,0.905,-2.838,-5.035,-5.615,-2.36,-5.351,-0.326,-5.269,0.936,-7.304,2.035,-5.768,-4.201,-7.243,-4.395,-3.632,-6.266,-4.262,5.89,-12.187,-2.014,-10.406,-2.34,5.595,-1.577
0.12109375,3.713,2.594,9.511,14.394,2.92,3.754,3.235,0.702,12.258,1.668,-6.561,0.671,-3.764,2.543,-4.73,-12.065,-16.876,-1.455,1.19,3.499,1.506,5.768,-1.963,5.361,-6.419,2.614,-3.082,3.265,-1.465,3.774,-4.405,-1.943,-2.981,1.536,4.262,6.205,4.629,2.533,-0.397,2.858,-6.744,-8.453,-9.033,-4.801,-7.304,-2.279,-6.734,-0.529,-8.28,-0.407,-3.815,-8.108,-9.196,-27.832,-31.952,-9.684,-5.727,8.82,-2.909,5.31,-6.5,1.567,9.989,4.283
0.125,4.69,-0.336,0.234,15.859,2.92,7.172,-7.507,19.745,-14.109,-0.285,-3.143,0.671,-4.252,3.52,-4.73,8.443,-7.111,-1.943,1.678,4.964,0.529,9.674,-4.405,8.291,-3.977,8.962,2.777,3.754,-0.977,4.262,-1.475,-0.966,-2.981,2.024,7.68,10.111,-0.743,-8.209,-0.397,2.858,-10.162,-10.895,-11.475,-5.778,-8.28,-3.255,-7.222,-1.994,-7.304,-1.872,-3.326,-10.061,-11.149,-12.207,-1.19,-11.637,-6.215,6.866,3.438,7.263,-2.106,4.496,9.989,7.701
0.12890625,2.736,-2.777,-7.579,6.093,0.966,-4.059,0.305,-12.482,-0.437,-4.191,-0.702,1.16,-3.764,4.985,-3.754,15.279,0.702,-1.943,-1.251,3.988,0.529,9.186,-3.916,4.873,-1.048,11.403,-0.641,3.754,0.0,4.751,3.408,0.498,-3.469,1.536,5.727,6.694,-4.161,-14.069,-1.373,2.37,-12.115,-12.36,-12.939,-6.266,-8.769,-3.255,-7.222,-1.994,-6.816,-2.36,-5.768,-11.037,-13.102,-34.18,-0.702,-12.614,-6.704,0.519,1.973,3.357,-0.153,4.496,4.618,5.747
0.1328125,0.783,-2.289,-8.067,-8.555,-0.01,-1.617,0.793,-4.181,0.539,-4.679,-0.214,1.16,-3.764,4.985,-3.754,-29.643,-3.204,-1.943,-5.157,2.523,2.482,6.256,1.455,-1.475,1.882,8.962,-8.942,3.265,1.953,4.262,8.779,0.987,-3.469,2.024,1.821,0.346,-3.184,-9.674,-3.815,1.394,-13.58,-13.336,-13.916,-6.755,-9.257,-3.255,-7.711,-2.97,-8.28,-2.848,-8.209,-12.014,-14.079,-5.859,-4.608,-13.59,-7.192,-5.829,-4.374,-2.502,-1.617,3.52,-0.264,1.841
0.13671875,1.272,2.106,-0.254,-15.391,0.966,-5.524,5.188,-11.505,13.723,0.203,0.275,-0.305,-3.276,2.055,-3.754,4.537,22.186,-2.431,-5.646,2.523,5.9,3.815,8.779,-4.405,4.812,2.614,-11.871,3.265,4.395,3.774,11.22,0.987,-0.051,3.001,0.356,-2.096,2.187,4.974,-6.256,2.858,-14.069,-13.824,-14.893,-8.219,-10.234,-5.208,-8.687,-4.924,-9.745,-3.825,-8.698,-12.99,-14.567,-1.465,-7.538,-15.055,-8.169,-5.829,-10.234,-3.479,-4.547,4.496,-0.264,-0.112
0.140625,4.201,8.453,9.511,-6.114,4.873,8.148,-4.578,12.909,-9.226,7.039,1.251,-3.235,-3.764,-3.316,-4.73,9.908,-24.2,-3.408,-2.228,4.964,8.83,4.303,13.662,-0.498,7.741,-1.78,-3.571,4.242,5.859,3.774,7.314,1.475,6.297,3.977,3.286,2.787,9.023,20.599,-4.303,5.788,-15.045,-13.824,-15.381,-10.661,-10.722,-8.138,-9.664,-7.365,-10.722,-6.266,-6.256,-14.943,-14.079,-7.812,-24.139,-16.032,-8.657,0.519,-10.234,1.404,-5.524,8.891,5.107,2.33
0.14453125,9.084,13.824,15.371,14.882,9.267,2.289,0.793,8.026,2.981,10.457,2.716,-5.676,-3.764,-7.711,-4.73,2.584,-6.622,-3.896,3.143,7.406,8.83,5.768,11.709,8.291,10.183,-0.315,13.519,4.242,4.883,4.262,-0.987,2.94,11.18,4.954,9.145,11.088,13.418,25.97,3.51,8.23,-15.533,-13.336,-15.381,-11.637,-10.722,-10.091,-9.176,-7.853,-9.745,-7.731,-3.815,-16.897,-14.079,-1.465,-19.745,-17.008,-9.145,7.843,-4.374,7.263,-3.082,14.75,11.943,8.677
0.1484375,12.014,14.801,14.882,33.925,11.709,-2.594,-2.136,-6.134,-5.809,6.551,3.693,-5.676,-3.764,-7.222,-3.754,-5.229,-2.228,-3.408,6.073,8.382,6.388,6.256,4.873,14.638,8.718,5.544,27.679,3.754,2.441,3.286,-6.846,4.405,11.668,4.466,14.028,16.947,13.418,17.67,11.81,8.718,-15.045,-12.36,-14.404,-11.637,-10.234,-10.091,-8.199,-7.365,-7.304,-8.708,-2.838,-17.385,-14.079,-0.977,-5.096,-16.52,-8.657,9.796,2.95,7.751,0.824,17.68,14.872,13.56
0.15234375,12.014,12.848,10.488,36.855,10.732,2.777,-3.113,8.514,-3.855,-0.773,2.716,-4.211,-3.276,-3.316,-2.777,4.537,-11.017,-3.408,6.073,6.917,3.947,4.303,-1.963,14.638,4.812,11.403,27.679,2.289,0.488,1.821,-4.405,4.893,6.785,3.977,13.54,14.506,8.535,2.045,11.81,7.253,-14.069,-11.383,-13.428,-10.661,-9.257,-8.138,-7.222,-5.9,-5.839,-8.219,-2.35,-16.408,-13.59,-11.23,-15.839,-15.055,-8.169,4.913,7.345,0.916,3.754,16.703,11.943,14.048
0.15625,9.572,9.43,4.629,21.23,8.291,6.683,-2.136,17.792,-8.25,-6.632,0.763,-2.258,-3.276,0.102,-2.289,5.514,-9.552,-2.92,3.632,4.964,3.459,2.838,-3.428,10.244,1.882,11.403,14.008,1.801,0.488,0.356,4.384,4.893,-1.027,3.001,8.169,5.717,3.164,-11.139,3.51,5.3,-12.604,-11.383,-12.939,-9.684,-9.745,-7.65,-7.711,-6.388,-6.816,-6.755,-4.303,-14.943,-14.079,7.324,-2.167,-14.567,-7.68,-2.411,7.345,-6.897,4.242,12.309,5.107,8.677
0.16015625,6.643,7.477,-0.743,-1.719,5.361,0.336,0.305,-5.157,-0.926,-6.144,-0.702,-2.258,-3.276,0.59,-3.265,10.396,-0.275,-2.92,1.19,4.476,5.412,4.791,1.455,5.361,2.37,4.567,-3.082,2.777,1.953,2.309,10.732,6.846,-5.422,3.001,1.821,-3.56,2.187,-15.045,-5.28,4.812,-12.115,-12.36,-12.939,-10.173,-10.722,-8.626,-9.176,-8.83,-9.745,-6.266,-7.721,-14.455,-15.055,0.977,-2.167,-15.055,-8.657,-5.341,3.927,-9.338,0.824,7.426,-0.264,2.33
0.1640625,5.666,7.965,-4.161,-15.391,5.361,0.336,-4.089,2.167,-2.391,-0.773,-1.678,-3.235,-4.252,-2.828,-4.73,5.514,-7.111,-3.408,1.678,6.917,8.341,11.139,9.267,2.92,6.276,-3.245,-10.895,5.707,4.395,7.192,9.267,9.776,-3.957,4.466,-1.109,-6.002,7.558,-10.162,-4.791,6.276,-12.604,-13.336,-13.916,-11.149,-11.698,-11.556,-11.129,-11.759,-12.675,-5.778,-11.139,-14.943,-16.52,-6.348,-8.514,-15.544,-10.122,-0.458,0.997,-2.991,-4.059,5.961,-1.241,-1.088
0.16796875,7.619,10.406,-2.696,-11.485,7.314,1.801,-1.648,1.678,-2.391,4.598,-1.678,-4.211,-5.717,-6.246,-6.683,-0.834,-4.181,-3.896,5.585,10.824,10.295,17.487,14.638,3.408,11.159,-5.686,-5.035,7.66,5.859,10.61,2.431,11.729,2.879,5.931,2.309,-0.631,13.418,2.045,3.51,8.718,-13.58,-14.313,-14.404,-12.126,-12.675,-13.021,-12.594,-12.736,-14.628,-4.801,-12.604,-15.432,-16.52,-12.207,-9.003,-16.032,-10.61,7.843,0.02,7.263,-8.453,8.403,3.153,1.841
0.171875,10.549,12.36,5.117,4.628,10.244,14.008,-5.066,31.952,-8.738,7.039,-1.678,-4.211,-6.205,-5.758,-8.148,-8.158,-14.435,-3.896,10.956,11.8,9.806,17.487,14.638,4.873,12.136,1.638,8.636,7.66,5.371,9.633,-2.452,10.752,9.715,6.419,9.633,8.647,15.371,15.228,9.857,9.694,-13.092,-13.336,-13.428,-10.661,-12.187,-11.068,-12.105,-9.806,-14.628,-2.36,-11.139,-14.943,-14.567,-8.301,-13.885,-15.055,-8.657,13.214,1.485,13.123,-9.43,13.774,10.478,9.654
0.17578125,11.037,11.871,16.836,18.789,10.244,-4.547,2.258,-16.876,3.469,7.039,-1.19,-2.258,-5.229,-1.363,-8.148,3.072,-4.669,-2.92,14.374,9.359,7.365,10.162,9.755,5.361,9.206,13.845,18.89,4.73,2.93,4.262,-0.987,5.381,12.644,4.954,16.469,17.436,12.441,22.552,8.881,8.23,-11.139,-10.895,-10.986,-8.219,-10.234,-7.161,-10.64,-4.435,-12.675,0.57,-6.744,-12.502,-11.637,-0.488,1.251,-12.614,-6.215,11.749,4.415,10.193,-7.477,17.68,17.314,16.978
